"","GN","filter_all_group","route_djev_1_1","route_djev_1_2","route_djev_2_1","route_djev_2_2","route_djev_3_1","route_djev_3_2","skill_avi","skill_ski","skill_avi_3l","skill_ski_3l","skill_avi_numeric","skill_ski_numeric","soc_6_1","soc_6_2","soc_6_3","soc_6_4","soc_6_3_reversed_NEW","soc_6_4_reversed_NEW","soc_6_5","soc_6_6","soc_total","g_dynamics","g_trust_1","g_confidence_1","age","bc_years_4","bc_days","birthy","sex","area_days","No","filter_full_group","Num","RecordedDate","goal_11_TEXT","GOAL_0","GOAL_A","GOAL_B","GOAL_C","GOAL_D","GOAL_E","GOAL_F","StartDate","EndDate","Status","Progress","Duration__in_seconds_","group_nr","Finished","Day","Day_coded","n_people","firstime","Version","gear","g_leader","g_leader_you","goal_12","goal_1","goal_2","goal_3","goal_4","goal_5","goal_6","goal_7","goal_8","goal_9","goal_10","goal_11","goal_11_presence","goal_num","forecast","ates","mountain_1","mountain_2","mountain_3","route_skit_1_1","route_skit_1_2","route_skit_2_1","route_skit_2_2","route_skit_3_1","route_skit_3_2","route_skit_4_1","route_skit_4_2","n_trips_skit","n_trips_dje","TotalTotal","route_stor_1_2","route_stor_2_1","route_stor_2_2","route_stor_3_1","route_stor_3_2","route_stor_4_1","route_stor_4_2","route_stor_5_1","route_stor_5_2","route_stor_6_1","route_stor_6_2","n_trips_stor","aviprob_exp_10","aviprob_exp_1","aviprob_exp_2","aviprob_exp_3","aviprob_exp_4","aviprob_exp_5","aviprob_exp_6","aviprob_exp_7","aviprob_exp_8","aviprob_exp_9","factor_plan_99","factor_plan_1","factor_plan_2","factor_plan_3","factor_plan_4","factor_plan_5","factor_plan_6","factor_plan_7","factor_plan_8","factor_plan_9","factor_plan_10","factor_plan_11","factor_plan_12","factor_plan_13","factor_plan_14","factor_plan_15","factor_plan_16","factor_plan_17","factor_plan_18","factor_plan_19","factor_plan_20","factor_plan_21","factor_plan_22","factor_freq_dic","factor_freq_1","factor_freq_2","factor_freq_3","factor_freq_4","factor_freq_5","factor_freq_6","factor_freq_7","factor_freq_8","factor_freq_9","factor_freq_10","factor_freq_11","factor_freq_12","factor_freq_13","factor_freq_14","factor_freq_15","factor_freq_16","factor_freq_17","factor_freq_18","factor_freq_19","factor_freq_20","factor_freq_21","factor_freq_22","factor_freq_23","dp_dic","s_t_g_dm_1","s_t_g_dm_2","s_t_g_dm_3","mapphoto","multi_mountains","dpoint_map_skit_1_x","dpoint_map_skit_1_y","dpoint_photo_skit_1_x","dpoint_photo_skit_1_y","dpoint_map_djev_1_x","dpoint_map_djev_1_y","dpoint_photo_djev_1_x","dpoint_photo_djev_1_y","dpoint_map_stor_1_x","dpoint_map_stor_1_y","dpoint_photo_stor_1_x","dpoint_photo_stor_1_y","decision","aviprob_dm_99","aviprob_dm_98","aviprob_dm_9","aviprob_dm_1","aviprob_dm_2","aviprob_dm_3","aviprob_dm_4","aviprob_dm_5","aviprob_dm_6","aviprob_dm_7","factor_detail_4","factor_detail_5","factor_detail_6","factor_detail_7","factor_detail_8","factor_detail_9","factor_detail_10","factor_detail_11","factor_detail_12","factor_detail_13","factor_detail_14","factor_detail_15","factor_detail_16","factor_detail_17","factor_detail_18","factor_detail_19","factor_detail_20","factor_detail_21","factor_detail_22","factor_detail_23","factor_detail_24","factor_detail_25","factor_detail_26","social_identification","social_leadership","social_organization","social_communication","social_anomaly","social_skill","social_totality","group_social_mean","social_binary","aviprob_exp_number","aviprob_dm_number","factor_detail_number","skier_number","group_number_size","skier_correct_number","skier_incorrect_number","skier_identified_number","skier_possible_number","number_gold_prob","number_gold_non_prob"
"1","A1",1,NA,NA,NA,NA,NA,NA,"5. Advanced skills","6. Expert skills",3,3,5,6,"Strongly agree","Strongly agree","Strongly disagree","Agree",NA,NA,"Agree","Strongly agree",26,"Extremely positive","5","7",29,"20","100","1993","Male","More than two weeks",25,1,25,13867680643,"-99                                                                                                                                                                                                                                                            ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ",13739657651,13739658639,"Offline",100,987,"                                        ","True","March 26th",1,"2","Yes",1,"Yes",NA,NA,"0","0","0","0","Social focus","Skiing focus (finding the best possible skiing)","0","Focus on nature experience","0","0","0","0",NA,3,"Yes","1 - Simple","Skittentind",NA,NA,"Ascent","Descent","-99","-99","-99","-99","-99","-99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","New snow (slab)","Wind-drifted snow","0","0","0","0","0","0","Wumpf(s) and/or Crack(s)","Drum-like-sounds","0","Wind loading","Wind speed","0","0","0","0","0","0","0","Informal tests (e.g., ski cuts, cornice stomping, hand shear)","Slab hardness","0","0","0","0","0","0","Hardness of underlying snow","Yes",NA,NA,"Targeted areas","A handful of times",NA,"A handful of times","Targeted areas",NA,NA,NA,NA,NA,NA,NA,"Targeted areas","Specific elevation",NA,NA,NA,NA,NA,NA,"Continuous","Yes","Snow factors","Terrain factors","0","I prefer to use a map",NA,188,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"To refrain from ascending and descending the slope","0","0","0","0","0","Wind-drifted snow","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,5,6,2,5,30,31,"high",2,1,0,2,"small",1,0,1,0,2,2
"2","A1",1,NA,NA,NA,NA,NA,NA,"4. Moderate to advanced skills","4. Moderate to advanced skills",2,2,4,4,"Strongly agree","Strongly agree","Agree","Disagree",NA,NA,"Strongly agree","Strongly agree",26,"Somewhat positive","4","6",29,"15","10_duplicated_309","1993","Male","More than two weeks",36,1,36,13867680772,"-99                                                                                                                                                                                                                                                            ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ",13867649827,13867650419,"Offline",100,592,"                                        ","True","March 26th",1,"2","Yes",1,"Yes",NA,NA,"0","0","Specific peak","0","0","0","Nice view","Focus on nature experience","0","0","0","0",NA,3,"Yes","2 - Challenging","Skittentind",NA,NA,"Ascent","Descent","-99","-99","-99","-99","-99","-99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","New snow (slab)","Wind-drifted snow","Persistent weak layer","0","0","Gliding snow","0","0","Wumpf(s) and/or Crack(s)","0","0","Wind loading","0","0","0","0","0","Wind formations","Ski penetration","0","0","0","0","0","0","0","0","0","0","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,5,3,32,31,"high",4,0,0,2,"small",0,0,0,0,2,2
"3","A2",1,NA,NA,NA,NA,NA,NA,"5. Advanced skills","6. Expert skills",3,3,5,6,"Strongly agree","Strongly agree","Strongly disagree","Strongly disagree",6,6,"Strongly agree","Strongly agree",30,"Extremely positive","5","6",31,"-99","40","1991","Male","More than two weeks",21,1,21,13867680563,"-99                                                                                                                                                                                                                                                            ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ",13867664841,13867666024,"Offline",100,1182,"                                        ","True","March 26th",1,"2","Yes",1,"Yes",NA,NA,"0","0","0","0","0","Skiing focus (finding the best possible skiing)","Nice view","Focus on nature experience","0","Workout","0","0",NA,4,"Yes","1 - Simple","Skittentind",NA,NA,"Ascent","Descent","-99","-99","-99","-99","-99","-99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","New snow (loose)","New snow (slab)","Wind-drifted snow","0","0","0","0","0","0","0","0","Amount of new snow","Wind loading","Wind speed","0","0","Temp. last 24h or 72h","Solar radiation","Wind formations","Ski penetration","How snow feels when moving on skis","Informal tests (e.g., ski cuts, cornice stomping, hand shear)","Slab hardness","0","0","0","0","0","0","0","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,2,2,28,29,"low",3,0,0,2,"small",0,0,0,0,2,2
"4","A2",1,NA,NA,NA,NA,NA,NA,"5. Advanced skills","5. Advanced skills",3,3,5,5,"Strongly agree","Strongly agree","Neither agree nor disagree","Strongly disagree",4,6,"Strongly agree","Strongly agree",28,"Extremely positive","5","7",31,"11","40","1991","Female","More than two weeks",32,1,32,13867680650,"-99                                                                                                                                                                                                                                                            ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ",13739672756,13739673783,"Offline",100,1027,"                                        ","True","March 26th",1,"2","Yes",1,"Yes",NA,NA,"0","0","0","0","0","0","Nice view","Focus on nature experience","0","0","0","0",NA,2,"No - but someone else in the group did","1 - Simple","Skittentind",NA,NA,"Ascent","Descent","-99","-99","-99","-99","-99","-99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","New snow (loose)","New snow (slab)","Wind-drifted snow","0","0","0","0","0","0","Wumpf(s) and/or Crack(s)","0","Amount of new snow","Wind loading","0","0","0","0","0","Wind formations","Ski penetration","How snow feels when moving on skis","Informal tests (e.g., ski cuts, cornice stomping, hand shear)","Slab hardness","0","0","Hardness difference between layers","0","0","0","Hardness of underlying snow","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,4,2,30,29,"low",3,0,0,2,"small",0,0,0,0,2,2
"5","A6",1,NA,NA,NA,NA,NA,NA,"4. Moderate to advanced skills","4. Moderate to advanced skills",2,2,4,4,"Strongly agree","Strongly agree","Strongly agree","Agree",NA,NA,"Strongly agree","Strongly agree",23,"Somewhat positive","4","6",46,"-99","21","1976","Male","2-4 days",107,1,107,13867760515,"-99                                                                                                                                                                                                                                                            ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ",13867731455,13867732519,"Offline",100,1064,"                                        ","True","March 27th",2,"2","Yes",1,"Yes",NA,NA,"0","0","Specific peak","0","0","0","0","0","0","0","0","0",NA,1,"Yes","1 - Simple","Skittentind",NA,NA,"Ascent","Descent","-99","-99","-99","-99","-99","-99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","New snow (slab)","Wind-drifted snow","0","0","Wet snow (slab)","Gliding snow","0","0","Wumpf(s) and/or Crack(s)","Drum-like-sounds","Amount of new snow","Wind loading","0","0","Temp. trend","0","Solar radiation","Wind formations","0","How snow feels when moving on skis","0","0","0","0","Hardness difference between layers","Weak layer thickness","0","0","0","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,5,35,34,"high",4,0,0,2,"small",0,0,0,0,2,2
"6","A6",1,NA,NA,NA,NA,NA,NA,"4. Moderate to advanced skills","4. Moderate to advanced skills",2,2,4,4,"Strongly agree","Strongly agree","Strongly agree","Disagree",NA,NA,"Strongly agree","Strongly agree",25,"Somewhat positive","4","6",49,"20","25_duplicated_324","1973","Male","2-4 days",117,1,117,13867760921,"-99                                                                                                                                                                                                                                                            ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ",13867731430,13867732392,"Offline",100,961,"                                        ","True","March 27th",2,"2","Yes",1,"Yes",NA,NA,"0","0","0","0","0","Skiing focus (finding the best possible skiing)","Nice view","0","0","Workout","0","0",NA,3,"No","1 - Simple","Skittentind",NA,NA,"Ascent","Descent","-99","-99","-99","-99","-99","-99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","New snow (slab)","Wind-drifted snow","0","0","0","0","0","0","Wumpf(s) and/or Crack(s)","0","0","Wind loading","Wind speed","0","0","0","0","0","0","How snow feels when moving on skis","0","Slab hardness","0","0","0","0","0","0","0","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Snow factors","0","0","I prefer to use a map",NA,423,283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"To ascend and descend the slope","0","0","0","0","0","Wind-drifted snow","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,3,33,34,"high",2,1,0,2,"small",1,0,1,0,2,2
"7","A7",1,NA,NA,NA,NA,NA,NA,"5. Advanced skills","6. Expert skills",3,3,5,6,"Agree","Agree","Strongly agree","Disagree",2,5,"Agree","Strongly agree",22,"Somewhat positive","4","6",26,"-99","50_duplicated_349","1996","Male","More than two weeks",119,1,119,13867760924,"-99                                                                                                                                                                                                                                                            ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ",13867738783,13867739348,"Offline",100,564,"                                        ","True","March 27th",2,"2","Yes",1,"Yes",NA,NA,"0","0","Specific peak","0","Social focus","Skiing focus (finding the best possible skiing)","0","0","0","0","0","0",NA,3,"Yes","1 - Simple","Skittentind",NA,NA,"Ascent","Descent","-99","-99","-99","-99","-99","-99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","New snow (slab)","Wind-drifted snow","0","0","0","0","0","Avalanche activity","0","0","Amount of new snow","Wind loading","Wind speed","0","0","0","0","Wind formations","0","How snow feels when moving on skis","0","Slab hardness","0","0","0","0","0","0","0","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,6,6,3,30,25,"low",2,0,0,2,"small",0,0,0,0,2,2
"8","A7",1,NA,NA,NA,NA,NA,NA,"5. Advanced skills","4. Moderate to advanced skills",3,2,5,4,"Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree",6,6,"Strongly agree","Strongly agree",22,"Extremely positive","5","7",56,"-99","88","1966","Male","More than two weeks",122,1,122,13867805727,"-99                                                                                                                                                                                                                                                            ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ",13867738826,13867739488,"Offline",100,661,"                                        ","True","March 27th",3,"2","Yes",1,"Yes",NA,NA,"0","0","Specific peak","0","Social focus","0","0","0","0","0","0","0",NA,2,"No","-99","Skittentind",NA,NA,"Ascent","Descent","-99","-99","-99","-99","-99","-99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","New snow (slab)","Wind-drifted snow","0","0","0","0","0","0","0","0","0","Wind loading","Wind speed","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,6,6,2,2,20,25,"low",2,0,0,2,"small",0,0,0,0,1,2
"9","B13",1,NA,NA,NA,NA,NA,NA,"5. Advanced skills","5. Advanced skills",3,3,5,5,"Strongly agree","Strongly agree","Disagree","Agree",NA,NA,"Agree","Strongly agree",25,"Extremely positive","4","7",25,"4","60","1997","Male","More than two weeks",110,1,110,13867760519,"-99                                                                                                                                                                                                                                                            ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ",13867739825,13867741157,"Offline",100,1331,"                                        ","True","March 27th",2,"3","Yes",1,"Yes",NA,NA,"0","0","Specific peak","0","Social focus","0","Nice view","Focus on nature experience","Course/learning","0","0","0",NA,5,"Yes","2 - Challenging","Skittentind",NA,NA,"Ascent","Descent","-99","-99","-99","-99","-99","-99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","New snow (loose)","0","Wind-drifted snow","0","0","0","0","0","Avalanche activity","Wumpf(s) and/or Crack(s)","0","0","Wind loading","Wind speed","0","0","0","0","Wind formations","0","0","0","Slab hardness","0","0","0","0","0","0","Hardness of underlying snow","Yes",NA,"Continuous","Continuous",NA,NA,"Specific aspect","Specific elevation",NA,NA,NA,NA,"Specific aspect",NA,NA,NA,"Specific aspect",NA,NA,NA,NA,NA,NA,"Continuous","Yes","0","0","Group management factors","I prefer to use a map",NA,181,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Started to ascend but turned around",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,5,6,3,5,31,33.6666666666667,"high",2,0,0,3,"large",0,0,0,0,2,2
"10","B13",1,NA,NA,NA,NA,NA,NA,"4. Moderate to advanced skills","4. Moderate to advanced skills",2,2,4,4,"Strongly agree","Strongly agree","Agree","Agree",NA,NA,"Strongly agree","Strongly agree",24,"Extremely positive","5","7",25,"-99","35","1997","Female","More than two weeks",120,1,120,13867760925,"-99                                                                                                                                                                                                                                                            ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ",13867739792,13867741181,"Offline",100,1389,"                                        ","True","March 27th",2,"3","Yes",1,"Yes",NA,NA,"0","0","0","0","Social focus","0","0","Focus on nature experience","0","0","0","0",NA,2,"Yes","3 - Complex","Skittentind",NA,NA,"Ascent","Descent","-99","-99","-99","-99","-99","-99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","New snow (loose)","0","Wind-drifted snow","0","0","0","0","0","Avalanche activity","Wumpf(s) and/or Crack(s)","0","Amount of new snow","Wind loading","0","0","0","0","0","Wind formations","0","0","0","0","0","0","0","0","0","0","0","Yes",NA,"Continuous","Continuous",NA,"Continuous","Specific aspect",NA,NA,NA,NA,NA,"Targeted areas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Snow factors","Terrain factors","Group management factors","I prefer to use a map",NA,176,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Started to ascend but turned around","0","0","0","0","New snow (slab)","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,5,5,34,33.6666666666667,"high",2,1,0,3,"large",0,0,1,1,2,2
